,Paylaþým
1143,"Bir yazar gençlere laf etmiþ. Dinozorlarýn soyu tükenmiþti hani? Genç insan: 1) Sorgulayandýr. 2) Geleceðine önem verendi"""
1144,"Hayýr hocam, ilkokul çocuklarý kitabýný okuyor ve adýný bilmeyeni yadýrgýyor. Laf edenler akademik önderler."""
1145,O nasý bi küfür 
1146,Almanyada Nazi hareketlenmesi var. Bu korkunç. Oradaki Türk vatandaþlarýnýn dikkat etmesi lazým.
1147,Elon Musk'a laf edenler ilkokul çocuðu mu?
1148,Çok cahilce konuþuyor ve hakaret ediyorsun. 
1149,Evet. Belirttiðim gibi takriben %70'i.  
1150,"Engellediniz arkadaþý ama olsun belki 1,8 milyon takipçiden biri GÖRÜR, sizin gibi gözlerini  KAPATMAZ."
1151,Popülizm dorukta
1152,Dünyada kredi veren tek kurum imf dimi güzel kardeþim. Aferin o kafaný daha güzel þeylere yorman dileðiyle
1153,Sayesinde uzaya insan yolculugu baslayacak. Giden roketler geri gelerek surdurulebilir
1154,Eðer yahudilerin baþýna gelen Türklerin baþýna gelirse onlarýnki kadar da ses çýkaramaz
1155,"Degerli Ozgur hoca, hem bunca twitte cevap verip hem calismaya nasil zaman buluyorsun?"""
1156,"Zýpladýn da tuttuk mu kafaný çarpacan aya diye..."""
1157,Yusuf senin Türkcen kötü galiba bak orda adam New York times in yazýsýný okudum diyor
1158,ay üzülmüþ bir de kýyamam. senin bir parçasý olduðunu kapitalizmin getirdiði yýkýmdan
1159,Türkiye tarihinin en iyi Maliye Bakaný  Adnan Kahveciyi saygýyla anýyorum.
1160,Ne ilkokul cocuklarý gordum  y.lisans mezunundan akilli
1161,Sen gider elin ülkesinde þeriat isterik diye miting yaparsan elin adamýda yabancýlar (raus ) dýþarý dolar
1162,Dünya dýþý transportation I denemedi henüz ama
1163,"Boeing sadece uçak üretmiyor ayný zamanda roket ve uzay araçlarýda üretiyor, spaceXin rakibi"
1164,Þunuda eklemek isterim uçak teknolojisi hýzlý adapte olabilir. Kapasiteleri var.
1165,"Hocam Musk'ý eleþtirmek için soruyu sormuyorum kendisi vizyoner,iradeli ve hedefine baðlý bir insan"
1166,Bu yeni deðilki bizler burda bunlarý biliyoruz benim yaþadýðým bavyera eyaleti polisi çok sýký izin
1167,Ne öðrettiler
1168,Yalnýz bilmediðiniz bir þey var sanýrým
1169,Galiba kuran kursu çocuðu. Çünkü bildiðim kadarýyla ilgi alanlarýna giren biri deðil
1170,Bana sosyoloji edebiyattan da kalmýþ diyen orospu evladýnýn da reetwetlediði posta bak
1171,Bana Havaifiþeðin insanlýk için bir tane faydasýný söyler misiniz? 
1172,"Yoo, mesela ben üniversite bitirdim. Musk teknoloji tüccarýdýr. Bilim alýr bilim satar. Baþkaca bir hüneri yoktur."
1173,Garip bir adam olduðunu biliyoruz. Ama öyle iþler baþarmasý için normal olmamasý gerekiyor.
1174,"Özür dile haydi bekliyorum, kararsýzsýn belli"
1175,Tam bir manipülatördür.
1176,Kýskançlýk her insaný kemiren bir duygu..
1177,spam yapmayýn yeter ya. bildirim geliyor
1178,"Bunu reetwet eden aptal orospu evladý mý bana edebiyat, sosyoloji anlatacak"
1179,"Yuh Ya, genc bir kizi bilip bilmeden resmen tacize baþlamýþsýnýz."
1180,Diyelim ki geçirdik.Oturduk konuþtuk.nasýlsýnýz iyi misiniz? Çocuklar nasýl? Sað olun sayýn cumhurbaþkaným iyiler elinizden öper.sizinkiler nasýl? Emine Haným nasýl? ....5 dkda bir insaný ne kadar tanýyabilirsiniz? Ha 5 dkda bir þey isteyip de tamamsözü aldýysan baþka tabi.
1181,Akýllýca bir söz söylediðinde illa ki seni açýklama yapmak zorunda býrakacak bir aklýevvel (hýyar) çýkar. Ebenin nikahýnda pilav nohutlu muydu þehriyeli mi onu anlatmaya çalýþýyor amk
1182,Bu kadýn sanatçý mý? O saydýklarýn gerçekten sanatçý ve helal ýlsun onlara her þey.. Bu kadýnýn ne özelliði var? Sizler sayesinde ayaklar baþ oldu ya.. Kalite meselesi
1183,"Onlarýn hiç biri sanatçý deðil,sanat bu kadar basit deðil.Onlar þarkýcýlar,vokaller."
1184,"Bunu anlaman için insanca düþünmen biraz da hümanist olman lazým. Ne yani kemal kýlýçdaroðlunu sevmiyorsam küfür edenleri hoþmu görmeliyim,sizler mutlu olabilirsiniz Ülkenin Baþkanýna küfür edilince,iþte sizinle bizim budur farkýmýz."
1185,O sevgi yalakalýktan olmasýn saraya giderken etek döbyes giymekle olmuyor bu iþler
1186,Ah be güzel fakat aklý kýt kardeþim benim. Kimse Demetin sesine laf atmadýðýný anlamadýðýn gibi ; diðer sanatçýlar iktidara yalakalýk deðil muhalefete þirinlik yapmýþ. Bu farkýda es geçmiþsin. Birde yalakalýkla kazanýlan konser ve boðazda kupon restaurant ile gelebilecek paralarý
1187,Bu tip sanatçýlar çýkar rant sanatçýsý bir inceleyin açtýðý restorantý hülya koçyiðitin damadý antalyayý yeniden kapmýþ.birde  bu tip rant sanatçýlarý her devre güce hitap eder ideoloji yoktur
1188,Aynen oyle
1189,"Aynen öyle hangi sýfatlarla görüþüyorlar, neden reklam yapýyorlar cumhurbaþkaný herkesin cumhurbaþkaný olmasý deðil. Önemli olan kimin baþda olduðu deðil baþdakini herkes eleþtirebilmeli. Cumhurbaþkana aþýk olunmaz, o halkýna aþýk olur. At yarýþdayken yem su övgü verilmez hele bitsin yarýþ sonra görülür yiðitlik. Hele bi bu kitap kapansýn sonra aþýk olun bakalým ozaman olacakmýsýnýz yoksa yeni gelenemi yalakalýðý seçeceksiniz, ama siz de biliyorsunuz arkasýnda neler döndüðünü bu yüzden dengesiz aþkýnýz."
1190,"IBAN ver 10 tl talep et,,,,sonra saray larýna youtube dan konser verir 30 milyoncuk harca,,,borçlardan kurtulmak için boþanan,,,ancak hemen barýþýp beraber yaþamaya devam eden,,,,ASSOLÝST paralarý kapar,,ay sonunu zor getiren vatandaþ bunu savunur BU ÜLKENÝN ÝÞÝ GERÇEKTEN ZOR"
1191,Hemde yalakanýn önde gideni.
1192,Önden buyrun ayak altýnda dolaþmayýn.
1193,Biz garibanýz o bizden gelmez. Onu yalakacýlýk yapanlara diyin . Lütfen polemik yapmayýn.
1194,Bu dediðine sen inanýyorsan sen den özür diliycem
1195,Oyle zoruna mi gitti
1196,"Ahlaksýz, aðzýn boðazýn kanalizasyon gibi. Demet Akalýn'ýn sicilini konuþmaya gerek yok. Sizin gibi aþaðýlýk aðzý bozuk yaratýklar varken."
1197,"5 dakika yalakalýk yap milyonlarý indir cebe ne ala memleket, kimi kime þikayet ediyorum ya sizde bir yalakasýnýz deðilmi Pardon"
1198,hem yalaka hem göt korkusu
1199,"Sanatçý muhalif olur, çünkü temelinde toplumdan öncü olana sanatçý denir.Bilmiyorsan azýcýk þurup yutar gibi kitaplardan oku.Sen de bana 5 dakika sonra ne olduðunu suratýma þamar gibi çarp mesela, gerçekten merak ettim, çünkü. "
1200,"Evet biz de geçirebilsek , sonra bizede boðaz da restoranlar senin gibi  iðrenç sesimizle 5 milyonluk konserler nasip olur herhalde"
1201,Boðaz da kamuya açýk olan yalý nasýl restorant oldu önce bunun cevabýný ver giriþimcisin ya?
1202,Hemde öyle bir yeri kapmýþki pes eski kocanýn þimdi ki sevgilinin borçlarýda bitti oh mis þimdi bebek te iki tur atarsýn
1203,"Öyle deme ev almýþ, borca girmiþ. Artýk haftada 3 gün çalýþmalýymýþ. Düþünsene haftada 3 gün çalýþýyorsun. Resmen insan haklarý ihlali bu!"
1204,ablacým reis halka üç yüz metre mesafeden sesleniyor araya koruma ordusundan barikat kuruyor. nasýl olacak o iþ?
1205,"Keþke,senin gibi bir kargaya 5 milyon bizim paramýzdan verdi"
1206,Galiba halanýn restoran zinciri hedefi var.
1207,geçinemiyorum sözlerine açýklýk getirdi: Ben bunu dedikten sonra insanlar bana püskürdü. Büyük baþýn büyük derdi oluyor. Ben kaç tane aileye bakýyorum. Ev kredisi ödüyorum. O linç edenlere sormak isterim. Ceplerinden bir 5 lira Mehmetçiðe yardým etmiþler mi?
1208,"Demet Akalýn'ý bu milletin baþýna musallat eden adam, senin de yatacak yerin yok.."
1209,"Meclise getirilen kanun teklifiyle gýdayla ilgili olumsuz yazý yazmak da yasaklanacak. Mesela hileli ürünleri açýklamak, niþasta bazlý þekeri, GDOlu ürünleri eleþtiremeyecek, zeytinde çayda boya mý var diye soramayacaðýz. Bir ülkenin meclisi neden böyle bir kanun hazýrlar ki?"
1210,"Çeþme Turistik Otelciler Birliði Baþkaný Yakup Demir: ""Çeþme'nin güzelliklerini tatilcilere yaþatmak varken, tam da yoðun günlerde okullarý açmak gerçekten biz turizmcilerin moralini bozar. Okullarýn erken açýlmasý turizme zarar verir"""
1211,"Antik Yunanda bilgeliðin, Antik Mýsýrda uygarlýðýn, Osmanlýda özellikle Mimar Sinanýn sanatýnýn sembolü baykuþlar nasýl günümüzde uðursuzluk sembolü oldu anlayamýyorum."
1212,"Okullar açýlýnca çocuklara hergün ates olçumu ,,uyuþturan dezenfektan ,,yapýcaklarýný açýkladýlar ,,bunlar habersiz aþý da yapar ,,küreselcilerin kucaðýndayýz "
1213,Evet..Asýl tehlike  bu..Velilerden izinsiz   aþý yaparlar  Veliler  lütfen  okul yönetimlerini  topluca uyarsýn.VELÝLER  KENDÝ  ARALARINDA  ÝLETÝÞÝM  GRUPLARIOLUÞTURSUN.ÖYLE BÝR  HABERDE  OKULLARA BASKIN YAPSINLAR.NE ÝDÜÐÜ BELÝRSÝZ AÞILARIN DÖNÜÞÜ YOK...
1214,Kýzýlötesi ýþýn ile ölçtüðü için göz sinirlerine zarar verebilir dolayisiyle bilekten ölçülmesi daha saðlikli olur.
1215,"Frontal Lob a uygulanýyor. Epifiz kafatasýnýn ortasýnda.Frontal lob: Bilinçli düþünme; zarar görmesi durumunda ruh hali, hissiyat deðiþikliði olabilir."
1216,Elbette..Direk barsaklara kimyasal  sokuþturuluyor  Çocuklar ateþe  dayanýklý  39 a kadar  ýlýk banyo  sirkeli su ..vücudun mikroplarla  savaþmasýna müsaade  edilmeli. Baþ serin tutulur..
1217,koyun gibi her denileni yapan aptal insanlar
1218,Hangi araþtýrmaya göre? Epifiz çok önemli? Ama daha gerçeklere dayalý bir açýklama olmalý! Biri þöyle demiþ vs ile olmaz olmamalý
1219,varlýðýný da biliyorsak  bilimsel kanýta  ihtiyaç var mý? Sorgulayabilen anlar
1220,"Kitler ekmek su gibi satýlýr olmuþ, ticaretine bile döktülerse iþi.. Maalesef gitmek gereken yerlerde içinde kurþun olmayan bu cihazla bir kaç defa beni vurdular."
1221,Diþ fýrçalamayý býrakýn önce diþ macunu kireçlendiriyor baþka çözüm bulun þebek suyu asla içmeyin
1222,"""Babacan"" duygusuymuþ! Okuyunca kan, beynime sýçradý! Bu ülkede ""kalçamýzý ellemek"" serbest öyle mi!Kadýnlar, neredesiniz? Yargý eliyle taciz kapýsý aralanmýþ, haberiniz var mý?"
1223,"Yargýtay Kadýn memurun kalçasýna vuran Müdür için ""babacan"" tavýr diyerek verilen kararý bozdu. Bu karara þerh koyan hakimin manifesto gibi açýklamasý okunmalý.""Arada husumet yok, cinsel saldýrý gerçekleþmiþtir"""
1224,Çok acelem var ama iki saniye olsa da seni sevmeye geleceðim.
1225,kavak yelleri efe gibi bi anda ortadan kaybolup herkesin öldü bilmesine ihtiyacým var kafamý dinleyince dönerim geri.
1226,"Merhaba Seval Haným, hizmetinizde yaþanan sorunla ilgili incelemeler devam ediyor. Süreç daha fazla uzamadan çözüm saðlýyor olacaðýz."
1227,"Saðlýk Bakanlýðý okullar için rehber yayýnladý. Öðrenciler arasý mesafe en az 1 metre olacak deniyor. Sonra devamýnda 4 m2ye bir kiþi, yani iki kiþi arasý 2 metre olacak deniyor. Okul hangisini dikkate alacak? 1 myi uygulasýnlar, öpüp baþýmýza koyarýz dediðinizi duyar gibiyim."
1228,"Kýz istemeye gider gibi Almanya`ya turist istemeye gittiler, yine de vermemiþler laynnnn."
1229,Molalarda çamaþýr makinesini boþaltýp doldurmam çamaþýrlarý hýzlýca sermem gerekiyor. Dün evde olmadýðým için bugüne kaldý ne güzel güne kalmýþ böyle 3 makine çamaþýr
1230,"Türkiye Geneli Üniversiteler Arasý Nadir Hastalýklar Genetik Tedavi Yarýþmamýz @RaDiChallenge onlarca üniversiteden 32 Takým ve 150'ye varan idealist genç insanýmýzýn Projelerinin Geliþtirilmesine yardýmcý olacak 2. Özel Eðitimimiz ""CRISPR Gen Düzenleme"" ile  devam edecek."
1231,"Dün 52km yol yapmýþým bisikletle, bu arada 8 bira içmiþim, bu hesapla 57 kr. yakýyorum, ortalama bi araba kadar"
1232,"Þýrnak'ta 2016da ilan edilen sokaða çýkma yasaðýnda kendisinden haber alýnamayan ve cansýz bedenine ulaþýldýðýnda kurþunlanarak öldürüldüðü anlaþýlan 13 yaþýndaki Fatma Elarslan, gizli tanýk ifadesiyle örgüt üyesi gösterilerek öldürülmesinde kovuþturmaya gerek duyulmadý."
1233,"Antalya falezlerinde bulunan çantada, Roma dönemine ait 2000-2500 yýllýk olduðu deðerlendirilen tarihi heykel ortaya çýktý. Polis ekipleri, yaklaþýk 50 kilo aðýrlýðýndaki heykeli, 40 metrelik falezlerden battaniyeye sararak çýkardý."
1234,"Çamaþýr makinesinden ses çýkýyor, buzdolabýndan ses çýkýyor, kapalý televizyondan ses çýkýyor, eþyalardan ses çýkýyor, 21. yüzyýlda sessizliðe yer yok. 21. yüzyýldan ses çýkýyor."
1235,Allah sokak hayvanlarýna eziyet edenlerin canýndan alýp sokak hayvanlarýna versin.
1236,evde babamýn yemek yapýp annemin iþten gelmesi... ailecek kalýplaþmýþ þeylerin aksini yaþamayý seviyoruz
1237,Bisikletçiller için kullanýþlý bir ürün : Bilek Mirror
1238,Bazý hocalarýmýz var direkt giriyor.
1239,Köydeki yurtta dayýlarla batak keyfi
1240,Ek olarak yanýnda kaçak çay ve tütün keyfi
1241,"Dünya saðlýk örgütü U dönüþü yaptý.Coronavirüs hastasý insanlarýn izole edilmesine, karantinaya alýnmasýna gerek yok. Sosyal mesafeye gerek yok. Bir hastadan diðerine geçmiyor."
1242,Davar oglu davarlara inat sort giymeye tam gaz devam..
1243,Öffff bi foto atalim dedik mal mal alintilamayin
1244,"Evet! Herkesin yaþattýðýný yaþamasýný istiyorum. Hepimizin . Ne yaþatýyorsak, ne yapýyorsak biz de onu yaþayalým . Bu benim temennim, ayný fikirde olmak zorunda deðiliz. Beðenmeyen YALLAH ,AEO"
1245,"Doktora öðrencim Esra Albayrak, 9 temmuz'da kök hücre ekspansiyonu konulu tezini çevrimiçi savunacak. Ýlgililer katýlabilir. "
1246,Tivitin sahibi erkek. O mutfakta iþ yapmamýþ. Kýþýn buz gibi suda bulaþýk yýkamamýþ. Tavandan düþen akrep kertenkele ile hiç uðraþmamýþ belli ki. Fakirliðin romantizmi de hiç çekilmiyor.
1247,Böyle güzellikler yaþamayan nesle aþina deðiliz.
1248,"70'lik rakýda bayi karý dahil ürün fiyatý 46 TL. ÖTV 89 TL, KDV 24 TL. 70'lik bir raký almak için devlete 2 büyük 1 küçük raký parasý veriyoruz. Bu artýk ""yaþam tarzý"" vergisi. Toplumun bir kesimini cezalandýrmak için sistematik olarak yapýlan bir uygulama. "
1249,36 tl bayýldýðým lab föyümün nerede olduðunu bilmiyorumdur
1250,"Bütün hocalar onu lablarda ararken, scihubdan libgenden indirdiði kitap ve makalelerin çýktý satýþýndan milyoner olmuþtu; Karin Escobar ilk kazandýðý paralarý gösterirken (renklendirilmiþ) 2020"
1251,"Bir tane güzel haber...Sevgili abimize moraller verelim,bize verdiði tüm güzellikler için tesekkür edelim. Özkan abimiz candýr."
1252,"Özkan Uður, kanseri ikinci kez yendiðini duyurdu"
1253,Exatlonu bir týk daha izlenebilir yapmak adýna Oðuzhan Uðurlu kýsýmlarý ileri sarýyorum
1254,Akan rimeli temizlemek istiyorum dedim diye orta doðu varoþu oldum bu sitede
1255,13 yýl önce Bodrum Güvercinlik'teki yangýn çýkan arazi için bakan tarafýndan tekrar yeþillendirileceði söylenmiþti. Bakýn yeþillendirilmiþ
1256,hiçbir þey bilmediðim sýnavýn cevaplarýnýn gelmesini bekliyorum
1257,"32 yaþýndaki gayet saðlýklý ve hiçbir hastalýðý bulunmayan 20 senelik arkadaþýmýn COVID-19'tan öldüðünü öðrendim az önce. Ýyileþiyordu, morali de iyiydi ama bir hafta içinde gitti adam. Son bir kere göremeyeceðim bile apar topar gömecekler. Ýki çocuðu yetim kaldý. Aþýrý üzgünüm."
1258,Dün bana daha fazla zayýflama çirkinleþiyorsun dediler evet bana
1259,bizim tartý 2 kg fazla tartýyormuþ tamam daha fazla zayýflamayacaðým tamam
1260,Çinli uzman önce yenmemesi gereken hayvanlarý sýralasýn
1261,Herkes yata yata ders geçtiðimizi düþünürken benim burda sinir krizi geçirmeme 3 saniye kaldý
1262,"Bre beyinsiz 40 yaþýndaki abicim, ne yapaydým? Commodore 64 dönemlerinde oynanan oyunlarý o dönemde oynayamadýðým için özür dilerim, baþýnýz göðe ermiþtir umarým? Diablo2 ve Heroes3 partilerinin yapýldýðý dönemlerden bahsederler. Ben þu an D2 ve HoMM3 oynarken"
1263,Ýlkokul birinci sýnýftayken herkes ayaða kalkýp kimden hoþlandýðýný söylüyodu benim hoþlandýðým çocuðu baþkasý söyleyince ben de ani bir karar deðiþikliðiyle boþta kalan çocuðu söylemiþtim
1264,Bunun 34? olmasýna toplum olarak neden ayaklanmýyoruz sadece soruyorum
1265,Toplum olarak çocuk tecavüzleri ve kadýna þiddette vurdumduymazlýk baþta olmak üzere bir sürü þeye ayaklanmýyoruz. Kalkýp dondurmaya neden ayaklanmadýðýmýzý mý soruyorsun gerçekten?
1266,Biz almayarak pasif direniþteyiz aslýnda
1267,Almayarak deðil de alamayarak direniþteyiz diyelim
1268,Ben bundan 3 adet almýþtým . Arabaya bindiðimde fiyatýný gördüm direk gittim geri verdim 20 liraya paþalar gibi künefemi yedim
1269,fiyatýna bakmadan aldýysan koymamasý gerek sana reis
1270,ayaklanmamiz gereken bir ton olay var.. sen gelmis magnum neden 34tl.. ne diyebilirim ki
1271,Kimse yiyemeyeceði þeye  bakmýyor belki de bu kadar pahalý bir þeyin bakmasý da paralýdýr diye düþünüyor
1272,Az önce Migrostan hiçbir þey almadan çýktým. 32? tuttu
1273,Artýk ihtimallerin heyecanýna da üzülemiyom
1274,Dünyanýn en küçük primatý olarak bilinen fare lemuru
1275,"Tuvaletleri kirlenmesin, temiz kalsýn diye kapýlarý kilitlenen tek ülke kesinlikle Türkiye. Çok garip bir toplumuz"
1276,Çünkü kadrolu hizmetçiler sabah bir kere uðrayýp - bütün gün çay içmek zannediyor görev tanýmýný
1277,Ýnternet ya da sosyal medyanýn etkisiyle daðýlan dikkatimiz verimli çalýþma anlamýnda bize zorluklar yaþatýyor. Sanýlanýn aksine bu sadece dikkati toplayamamak ya da odaklanamamakla alakalý deðil. Mevzu biraz daha derin.
1278,"Çevreci aktivist Ocean Ramsey ve ekibinin, Hawaideki Oahu Adasý sularýnda karþýlaþtýklarý 6 metrelik büyük beyaz köpek balýðýnýn, þimdiye dek karþýlaþýlan en büyüðü olduðuna inanýlýyor."
1279,"babamla dün niþana gittik,sabah birden geldi iyi seçim yap evliliðin þöyle böyle olmasýn zart zurt falan dedi. ben de mesela nasýl biri olsun istersin dedim......anasý güzel olsun yeter dedi."
1280,Eski evliliklerin uzun sürmesi kadýnýn çaresizliðinden kaynaklanýyor romantizme gerek yok.
1281,"Sen hayatýn boyunca 24 saat Amerikaya küfret, kýzýn gitsin oraya yerleþsin."
1282,"Kadýnlarýn hüzünlü prenses olmayý býrakýp bilge kadýn olmaya ihtiyaçlarý vardýr. Okumak, düþünmek, fikirleriyle var olmak, günümüzün kadýnlarýnýn temel görevi olmalýdýr"
1283,"Kadýn rolü yaptýðým videolara hep bu tarz yorumlar geliyor. Tamamen kadýn rolü yaptýðým bir kanal açsam, bir ayda milyon aboneye çýkarým herhalde."
1284,Adam 1000 dolara Honda Civic alýp uçurumdan atýyor tiktok çekiyor. Bizimkiler abi burasýnda þu kadar boya var þurasý orijinal parça þurasý modifiye falan diyip onbinlerce lira istiyor
1285,Depresyonda miyim yoksa yaz ayindan nefret ettigim icin mi mutsuzum ikilemi
1286,Yökdil sýnavýnda 55 alabilen bir eleman makalesinde Leviathan'ýn Ýngilizce orjinaline atýf yapmýþ
1287,"MFÖ grubunun solistlerinden Özkan Uður, lenf kanserini yendiðini bu mesajla duyurdu:""Ýkinci kez karþýlaþtýðým bu maçtan da galip çýktým. Dualarýnýz, iyi dilekleriniz için çok teþekkür ederim"""
1288,"Bugün stajda ""doktorlar biyologlarý eziyor kendilerini üstün görüyor"" önyargýmý yýktým çünkü sorumlum bir doktordu ve inanýlmaz bir iletiþim ve kendini geliþtirme ortamý verdi. Bence meslekte þunu bilmeyiz, Egolu meslek deðil egolu insan olduðunu. Bugün bunu öðrendim"
1289,"Geçmiþ olsun. Galata Kulesindeki iskele, bugünkü bilim kurulu sonrasý alelacele sökülüyormuþ. Bakým ileri bir tarihe ertelendi. Ebabiller için bir sorun kalmadý. Emeði geçen herkese çok çok teþekkürler"
1290,"Nolcekti, þeriatlý dinci yobaz krallýklý baskýcý Arabistana mý yerþecekti  tabii ki Modern Laik Özgür Hýristiyanlara koþacak!"
1291,Bir takipçimizden gelen deðiþim nasýl buldunuz?
1292,"Yýldýz dýþýnda en çok Uludað için istikrarlý þikayet duydum ben yýllardýr, ikna oldum mesela bok gibi iþ yaptýklarýna"
1293,Harvard Üniversitesi gelecek yýl tüm dersleri internet üzerinden yapacaðýný açýkladý.
1294,Þuraya kendini zamana býrakan birilerini çizelim.
1295,Havai fiþek fabrikasýndaki iþçi kadýnlar 15 gün içinde defalarca bu koliler ýsýnýyor diye üstlerine haber vermiþler.  Sen ne anlarsýn diye azar yemiþler bir de her defasýnda. Üstleri de kadýn olsaydý eminim sonuç farklý olurdu.
1296,"Hanýma Tartu'ya gitmeyi önerdiðimde kitaplýktan hemen Tartu haritasý ve rehberi çýkarýp neler görebileceðimizi göstermiþtim. Bugün de annem Türkiye'deki kitaplýðýmdaki harita kolleksiyonunu hatýrlattý, kýrtasiyeyi de 15 senedir bitiremediklerini söyledi. Yani insan deðiþmiyor."
1297,bu siteye ilk girdiðimde eðlenirim diye düþünmüþtüm dert babasý oldum aq
1298,"kanka cidden artýk umrumda deðil, hiç merak edip bakmýyorum bile"
1299,biraz gercekci olalim
1300,bir konuda herkesle ayný fikirdeysem aþýrý tedirgin oluyorum
1301,Yakýndan bakýnca hacivatý görüyosunuz
1302,"Evlilikten beklentiniz ne? Benim ilk beklentim huzur. Dýþarda ne yaþamýþ olursam olayým eve gitmek için can atayým derdimi unutayým. 2 saatten fazla gergin bi ortam olursa oturur aðlarým heralde benim derdim bana yetmiyor muydu, dert için mi evlendim diye"
1303,"Annelik, dünyanýn en zor mesleðidir"
1304,en yakýn arkadaþým dahi olsa emir kipiyle konuþan kim varsa asla o denilen þeyi yapmam asla
1305,Tavþan daða küsmüþ dað demiþ ki sen zaten kafanda kurmuþsun
1306,Ýstanbul Mecidiyeköy Þehit Ahmet Sokak'ta kapalý halde olan televizyon tamir atölyesinde meydana gelen patlamada yoldan geçen 1 kiþi hafif yaralandý
1307,Bunu da çalmazsýn ya
1308,Yýrtýk kullanýlmayan 2. el pantolonlarý kesip sýfýr þort yap
1309,dünyanýn en iyi ünlüsü
1310,Spordan sonra 1.5 adana yemeye gidiyorum
1311,Buradan atlamadan önce laboratuvarýmýza uðrayýp kendinize birkaç kilo yürek monte etmeniz gerekir.
1312,inanýlmaz iyi iki dövmemi de salýyorum
1313,Varaðý yiyorlar?
1314,Ülke resmen VARRAK sevdasý yüzünden yýkýlacak.
1315,Ne alaka aq
1316,hayatýmý mahveden üç þey var... duygusallýk... farkýndalýk... her þeyi fazla düþünmem.
1317,Lütfen benim minnak kalbime iyi davranýrmýsýnýz
1318,Badem yaðýnýn cilde faydalarý nelerdir
1319,"Paranýzý, paranýn alabileceði þeylere harcayýn. Zamanýnýzý ise paranýn satýn alamayacaðý þeylere harcayýn."
1320,Meteorolojiden birçok ile gök gürültülü saðanak yaðýþ uyarýsý!
1321,"Sana devamlý zarar veren , yüreðini inciten,mutlu günlerini ziyan eden ne varsa onlarý cesurca terk et.Zihni güzel düþünceler ile doldurmak saðlýða giden en hýzlý yoldur."
1322,yok yanlýþ anladýn ben okulu dondurmak için girdim sisteme
1323,Bir iliþkiyi ayakta tutan kadýn mýdýr erkek mi ?
1324,Rusya parlamentosunun alt kanadý Duma yarýn Türk mevkidaþlarýna Ayasofya çaðrýsýnda bulunabilir
1325,"Tramvay arýza yaptý, seferlerde aksamalar yaþanýyor"
1326,"Bir tane hocamýz var, öðrenciler notlarýný merak ediyorlar diye en fazla iki güne sýnav sonuçlarýný açýklar. 75-80 kiþinin aldýðý ders olsa bile. Bir de diðer bazý hocalarýmýz var saðolsunlar finaller ile beraber vize sonuçlarýný söylüyorlar."
1327,"Arto, Altýn Kelebek kazanan Reynmen'e zavallýsýn varoþ dedi Reynmen'in cevabý olay oldu!"
1328,Perþembe günü 21:00'de ekibimizden Nedim ve Ömer ile Gelecek Bilim'de ekibinin konuðuyuz. Bekleriz.
1329,"Sýnanmayan, farkýnda ve gönüllü olmayan sadakat bir deðer, hele ulviyet hiç deðil; yeteneksiz iktidar sahiplerinin halký, mýymýntý erkeklerin kadýnlarý el altýnda  tutmasýnýn adice bir yolu."
1330,Ýnsanlýðý ortak paydada ne birleþtirebilir
1331,Aman dikkat Libya'da oyuna gelmeyelim Birileri Türkiye'yi Rusya'yla savaþa itiyor
1332,"Yakýn olmak istediðin insanlara uzaktan bakmak, çok zor."
1333,Boydan nasýl poz verilir bilmiyorum ki
1334,"Kuopio'da 1916'da bu üç Rus askeri, kucaklarýnda oyuncak bebek ile fotoðraf çektirmiþ. Niye oyuncak bebekle bilmiyorum. Bilen?"
1335,Rýdvan'ýn yerine oyuna aldýðýn Caner ne yaptý? Þu Caner bir an önce gitsin ya.
1336,"iyi oynadýklarý zaman nasýl methiyeler diziyorsak, hata yaptýklarýnda eleþtireceksin lubalilik yok"
1337,"bolusporun kendi kaptaný rýdvan vardý,o zaman bizim rýdvan bebeydi"
1338,Nasýl büyük takým olursun.Adriano seviyesinin yedeði olursa evet. Yoksa arkasý gelmez dertlerimin söyleyeme devam.
1339,Canýn saðolsun Sergen Yalçýn hocam 
1340,"""Sosyal medyada ve statta bir grup var! Devamlý futbolcusuna hakaret eden ýslýk çalan bir grup"
1341,Bek oyuncusu arkasý dönük içeri çalým atmaz. Bu zamana kadar atanýda görmedim bir ilkti zaten.
1342,Oðlum siz üzülmeyin diye çýrpýnýyoruz burada.
1343,Unutun bugün olanlarý.Sonraki maçta yapacaðýnýz iyi þeylere odaklanin
1344,Bu kafayla bizden bi sik olmaz zaten
1345,Atiba özel bir karakter ve müthiþ bir profesyonel.
1346,Üzülün ama asla pes etmeyin çocuklar. Evet hata yaptýnýz ve maçý kaybetmemize neden oldunuz
1347,"size çok güveniyoruz, arkanýzdayýz. Üzülecek bir þey yok. Kaldýrýn kafanýzý."
1348,Yýllarca saç baþ yolduran Necip'e evlat diye sabredenler.
1349,Hatalar oldukça geliþeceksiniz mücadeleye devam kardeþlerim
1350,Ýnanýlýr gibi deðil... 
1351,çooook çalýþýn kartallarrr çooook
1352,son dört maçta aysðýna gelen her 10 toptan en az üçünü geri pas yapýyor olmasý normal
1353,Içimizdeki Ýrlandalilara inat.Dag gibi arkalarýndayýz
1354,Yani abi eleþtirmek iþin doðasýnda var. Yaftalama. Yenildiðinde eksikleri söylemek gerek.
